ID,star_rating,helpful_votes,total_votes,calc,cacl,vine,verified_purchase
R2INH817LTJFGI,5,18,20,0.9,TRUE,Y,N
R10AE7A6TGJR8Z,5,12,20,0.6,TRUE,N,Y
R114F7N8TE0JTZ,5,14,20,0.7,TRUE,N,N
R122FLWFFG4VQ3,5,14,20,0.7,TRUE,N,N
R12QOJ90D7XBEJ,5,18,20,0.9,TRUE,N,Y
R13AFJFG7DHTJ5,5,19,20,0.95,TRUE,N,Y
R14IXZNGIDNRQ4,5,16,20,0.8,TRUE,N,N
R15DTEA7CFX0XQ,5,12,20,0.6,TRUE,N,Y
R18DRW0R5FPE5D,5,18,20,0.9,TRUE,N,Y
R18P11OXQSIZ8T,5,13,20,0.65,TRUE,N,Y
R18YE5XIUB40P9,5,18,20,0.9,TRUE,N,Y
R1ATV5X4CS3E7A,5,15,20,0.75,TRUE,N,Y
R1AXQ4M8M4EBI8,5,11,20,0.55,TRUE,N,N
R1BTT7VNVOGG59,5,13,20,0.65,TRUE,N,Y
R1CVTXGQ1H6Z4H,5,15,20,0.75,TRUE,N,N
R1DDD3CVHV805V,5,16,20,0.8,TRUE,N,N
R1E6FYOYN7EHW5,5,19,20,0.95,TRUE,N,N
R1EIMAPSD2WJL5,5,13,20,0.65,TRUE,N,Y
R1FB1X19DAZF8X,5,19,20,0.95,TRUE,N,Y
R1GKRSB81AO5RE,5,19,20,0.95,TRUE,N,Y
R1HIFR9HNVONJH,5,16,20,0.8,TRUE,N,N
R1IPBQIM1PPD2I,5,16,20,0.8,TRUE,N,Y
R1N1YR7XNB54BF,5,20,20,1,TRUE,N,Y
R1NMGWP6V41QJ2,5,19,20,0.95,TRUE,N,N
R1Q8L17VOVIWMH,5,16,20,0.8,TRUE,N,N
R1S6YYJ1K475JY,5,15,20,0.75,TRUE,N,Y
R1SBC6OMM8YXR8,5,20,20,1,TRUE,N,N
R1TR9SLAMN57X2,5,12,20,0.6,TRUE,N,N
R1V3H7JTPBT4PR,5,12,20,0.6,TRUE,N,Y
R1VVVAKJDJBRL1,5,19,20,0.95,TRUE,N,Y
R1Y6ZYTARUH13D,5,14,20,0.7,TRUE,N,N
R1Z5XHFDB2M4QV,5,17,20,0.85,TRUE,N,N
R1ZMPL21O3CUMX,5,15,20,0.75,TRUE,N,Y
R222ZDIWT5OSPI,5,15,20,0.75,TRUE,N,Y
R24MZUV360N6HF,5,20,20,1,TRUE,N,Y
R24PBSGVRTGKG,5,19,20,0.95,TRUE,N,N
R26QMU9G1JQ8EF,5,14,20,0.7,TRUE,N,Y
